,,,,High ACEs (4 or more),,,Low ACEs (1-3),,,No ACEs,,
Demographic Category,Demographic Group,Lkbrfcurr Note2,Question1,Percent,95% CI (Lower),95% CI (Upper),Percent,95% CI (Lower),95% CI (Upper),Percent,95% CI (Lower),95% CI (Upper)
Total,Total,"The sample size includes all survey respondents except those with  missing, ""don't know"", or ""refused"" answers.",Calculated: ACE score groups,15.5%,14.0%,17.2%,45.6%,43.3%,47.9%,38.9%,36.6%,41.2%
Sex,Male,"The sample size includes all survey respondents except those with  missing, ""don't know"", or ""refused"" answers.",Calculated: ACE score groups,13.3%,11.3%,15.6%,50.3%,46.8%,53.7%,36.5%,33.2%,39.9%
,Female,"The sample size includes all survey respondents except those with  missing, ""don't know"", or ""refused"" answers.",Calculated: ACE score groups,17.5%,15.3%,20.0%,41.3%,38.3%,44.5%,41.1%,38.0%,44.3%
Race / Ethnicity,Non-Hispanic White,"The sample size includes all survey respondents except those with  missing, ""don't know"", or ""refused"" answers.",Calculated: ACE score groups,15.9%,13.8%,18.3%,46.6%,43.6%,49.6%,37.5%,34.7%,40.4%
,Non-Hispanic Others,"The sample size includes all survey respondents except those with  missing, ""don't know"", or ""refused"" answers.",Calculated: ACE score groups,9.6%,6.0%,15.0%,35.2%,26.3%,45.3%,55.2%,44.8%,65.2%
,Non-Hispanic Black,"The sample size includes all survey respondents except those with  missing, ""don't know"", or ""refused"" answers.",Calculated: ACE score groups,14.4%,9.9%,20.5%,57.0%,48.8%,64.8%,28.6%,21.8%,36.5%
,Hispanic,"The sample size includes all survey respondents except those with  missing, ""don't know"", or ""refused"" answers.",Calculated: ACE score groups,16.2%,13.5%,19.2%,43.4%,39.4%,47.4%,40.5%,36.4%,44.6%
Age Group,65+ Years ,"The sample size includes all survey respondents except those with  missing, ""don't know"", or ""refused"" answers.",Calculated: ACE score groups,5.8%,4.3%,7.7%,42.7%,38.7%,46.7%,51.5%,47.5%,55.5%
,45-64 Years,"The sample size includes all survey respondents except those with  missing, ""don't know"", or ""refused"" answers.",Calculated: ACE score groups,16.4%,13.9%,19.4%,46.4%,42.5%,50.4%,37.2%,33.4%,41.1%
,30-44 Years ,"The sample size includes all survey respondents except those with  missing, ""don't know"", or ""refused"" answers.",Calculated: ACE score groups,20.4%,17.0%,24.2%,51.0%,46.1%,55.8%,28.6%,24.3%,33.4%
,18-29 Years ,"The sample size includes all survey respondents except those with  missing, ""don't know"", or ""refused"" answers.",Calculated: ACE score groups,19.8%,15.4%,24.9%,41.8%,35.9%,48.0%,38.4%,32.0%,45.3%
Education,Some College,"The sample size includes all survey respondents except those with  missing, ""don't know"", or ""refused"" answers.",Calculated: ACE score groups,15.8%,13.1%,18.9%,49.7%,45.5%,54.0%,34.5%,30.5%,38.7%
,Less Than High School,"The sample size includes all survey respondents except those with  missing, ""don't know"", or ""refused"" answers.",Calculated: ACE score groups,17.5%,13.5%,22.4%,40.9%,34.7%,47.3%,41.6%,35.4%,48.1%
,High School Graduate,"The sample size includes all survey respondents except those with  missing, ""don't know"", or ""refused"" answers.",Calculated: ACE score groups,16.5%,13.5%,20.1%,46.2%,41.7%,50.8%,37.3%,32.8%,42.0%
,College Graduate,"The sample size includes all survey respondents except those with  missing, ""don't know"", or ""refused"" answers.",Calculated: ACE score groups,12.4%,10.1%,15.0%,43.1%,39.5%,46.8%,44.5%,40.8%,48.3%
Income Level,"Less Than $25,000","The sample size includes all survey respondents except those with  missing, ""don't know"", or ""refused"" answers.",Calculated: ACE score groups,18.1%,15.0%,21.7%,44.2%,39.7%,48.9%,37.7%,33.2%,42.4%
,"$50,000 or More","The sample size includes all survey respondents except those with  missing, ""don't know"", or ""refused"" answers.",Calculated: ACE score groups,14.7%,12.3%,17.4%,47.8%,44.1%,51.6%,37.5%,33.8%,41.3%
,"$25,000-$49,999","The sample size includes all survey respondents except those with  missing, ""don't know"", or ""refused"" answers.",Calculated: ACE score groups,15.8%,12.8%,19.4%,46.2%,40.9%,51.7%,37.9%,32.8%,43.4%
Employment Status,Not Employed,"The sample size includes all survey respondents except those with  missing, ""don't know"", or ""refused"" answers.",Calculated: ACE score groups,14.1%,12.0%,16.5%,41.2%,37.9%,44.5%,44.7%,41.2%,48.2%
,Employed,"The sample size includes all survey respondents except those with  missing, ""don't know"", or ""refused"" answers.",Calculated: ACE score groups,16.6%,14.5%,19.1%,49.5%,46.3%,52.7%,33.8%,30.9%,37.0%
Health Care Coverage,Not Covered,"The sample size includes all survey respondents except those with  missing, ""don't know"", or ""refused"" answers.",Calculated: ACE score groups,18.2%,15.1%,21.8%,49.0%,44.0%,53.9%,32.8%,28.2%,37.7%
,Covered,"The sample size includes all survey respondents except those with  missing, ""don't know"", or ""refused"" answers.",Calculated: ACE score groups,14.7%,12.9%,16.6%,44.3%,41.7%,46.9%,41.0%,38.4%,43.7%
Marital Status,Not Married,"The sample size includes all survey respondents except those with  missing, ""don't know"", or ""refused"" answers.",Calculated: ACE score groups,17.9%,15.6%,20.4%,45.6%,42.2%,49.1%,36.5%,33.1%,40.1%
,Married,"The sample size includes all survey respondents except those with  missing, ""don't know"", or ""refused"" answers.",Calculated: ACE score groups,13.4%,11.4%,15.8%,45.7%,42.6%,48.9%,40.8%,37.8%,43.9%
Disability Status,No Disability,"The sample size includes all survey respondents except those with  missing, ""don't know"", or ""refused"" answers.",Calculated: ACE score groups,12.0%,10.4%,13.7%,46.1%,43.3%,48.9%,41.9%,39.1%,44.7%
,Has Disability,"The sample size includes all survey respondents except those with  missing, ""don't know"", or ""refused"" answers.",Calculated: ACE score groups,24.8%,21.3%,28.7%,44.3%,40.3%,48.4%,30.9%,27.3%,34.8%
